[2023-09-09 18:55:53.992 | workflowName: LongRunningWorkflow | activityName: B_replica_2_of_2 | iteration: 1] - Activity started
[2023-09-09 18:55:56.169 | workflowName: LongRunningWorkflow | activityName: A | iteration: 3] - Incrementing workflow iteration...
[2023-09-09 18:55:56.172 | workflowName: LongRunningWorkflow | activityName: A | iteration: 4] - Mapping task arguments...
[2023-09-09 18:55:56.173 | workflowName: LongRunningWorkflow | activityName: A | iteration: 4] - Task will be executed with the following arguments: {"arguments":[],"constants":["0","A"],"currentIteration":4}
[2023-09-09 18:55:56.174 | workflowName: LongRunningWorkflow | activityName: A | iteration: 4] - Executing task
[2023-09-09 18:55:56.174 | workflowName: LongRunningWorkflow | activityName: A | iteration: 4] - Setup results file before task execution
[2023-09-09 18:55:56.176 | workflowName: LongRunningWorkflow | activityName: A | iteration: 4] - Executing task
[2023-09-09 18:55:56.843 | workflowName: LongRunningWorkflow | activityName: A | iteration: 4] - Task execution finished with a running time of: 666ms
[2023-09-09 18:55:56.846 | workflowName: LongRunningWorkflow | activityName: A | iteration: 4] - Collecting task results...
[2023-09-09 18:55:56.849 | workflowName: LongRunningWorkflow | activityName: A | iteration: 4] - Task results collected: [A4]
[2023-09-09 18:55:56.856 | workflowName: LongRunningWorkflow | activityName: A | iteration: 4] - Emit task results...
[2023-09-09 18:55:56.865 | workflowName: LongRunningWorkflow | activityName: A | iteration: 4] - Incrementing workflow iteration...
[2023-09-09 18:55:56.866 | workflowName: LongRunningWorkflow | activityName: A | iteration: 5] - Mapping task arguments...
[2023-09-09 18:55:56.868 | workflowName: LongRunningWorkflow | activityName: A | iteration: 5] - Task will be executed with the following arguments: {"arguments":[],"constants":["0","A"],"currentIteration":5}
[2023-09-09 18:55:56.872 | workflowName: LongRunningWorkflow | activityName: A | iteration: 5] - Executing task
[2023-09-09 18:55:56.874 | workflowName: LongRunningWorkflow | activityName: A | iteration: 5] - Setup results file before task execution
[2023-09-09 18:55:56.875 | workflowName: LongRunningWorkflow | activityName: A | iteration: 5] - Executing task
[2023-09-09 18:55:57.465 | workflowName: LongRunningWorkflow | activityName: A | iteration: 5] - Task execution finished with a running time of: 589ms
[2023-09-09 18:55:57.468 | workflowName: LongRunningWorkflow | activityName: A | iteration: 5] - Collecting task results...
[2023-09-09 18:55:57.469 | workflowName: LongRunningWorkflow | activityName: A | iteration: 5] - Task results collected: [A5]
[2023-09-09 18:55:57.470 | workflowName: LongRunningWorkflow | activityName: A | iteration: 5] - Emit task results...
[2023-09-09 18:55:57.476 | workflowName: LongRunningWorkflow | activityName: A | iteration: 5] - Incrementing workflow iteration...
[2023-09-09 18:55:57.477 | workflowName: LongRunningWorkflow | activityName: A | iteration: 6] - Mapping task arguments...
[2023-09-09 18:55:57.479 | workflowName: LongRunningWorkflow | activityName: A | iteration: 6] - Task will be executed with the following arguments: {"arguments":[],"constants":["0","A"],"currentIteration":6}
[2023-09-09 18:55:57.495 | workflowName: LongRunningWorkflow | activityName: A | iteration: 6] - Executing task
[2023-09-09 18:55:57.496 | workflowName: LongRunningWorkflow | activityName: A | iteration: 6] - Setup results file before task execution
[2023-09-09 18:55:57.500 | workflowName: LongRunningWorkflow | activityName: A | iteration: 6] - Executing task
[2023-09-09 18:55:58.051 | workflowName: LongRunningWorkflow | activityName: A | iteration: 6] - Task execution finished with a running time of: 550ms
[2023-09-09 18:55:58.053 | workflowName: LongRunningWorkflow | activityName: A | iteration: 6] - Collecting task results...
[2023-09-09 18:55:58.058 | workflowName: LongRunningWorkflow | activityName: A | iteration: 6] - Task results collected: [A6]
[2023-09-09 18:55:58.059 | workflowName: LongRunningWorkflow | activityName: A | iteration: 6] - Emit task results...
[2023-09-09 18:55:58.062 | workflowName: LongRunningWorkflow | activityName: A | iteration: 6] - Incrementing workflow iteration...
[2023-09-09 18:55:58.062 | workflowName: LongRunningWorkflow | activityName: A | iteration: 7] - Mapping task arguments...
[2023-09-09 18:55:58.064 | workflowName: LongRunningWorkflow | activityName: A | iteration: 7] - Task will be executed with the following arguments: {"arguments":[],"constants":["0","A"],"currentIteration":7}
[2023-09-09 18:55:58.065 | workflowName: LongRunningWorkflow | activityName: A | iteration: 7] - Executing task
[2023-09-09 18:55:58.065 | workflowName: LongRunningWorkflow | activityName: A | iteration: 7] - Setup results file before task execution
[2023-09-09 18:55:58.066 | workflowName: LongRunningWorkflow | activityName: A | iteration: 7] - Executing task
[2023-09-09 18:55:58.800 | workflowName: LongRunningWorkflow | activityName: A | iteration: 7] - Task execution finished with a running time of: 733ms
[2023-09-09 18:55:58.803 | workflowName: LongRunningWorkflow | activityName: A | iteration: 7] - Collecting task results...
[2023-09-09 18:55:58.814 | workflowName: LongRunningWorkflow | activityName: A | iteration: 7] - Task results collected: [A7]
[2023-09-09 18:55:58.817 | workflowName: LongRunningWorkflow | activityName: A | iteration: 7] - Emit task results...
[2023-09-09 18:55:58.820 | workflowName: LongRunningWorkflow | activityName: A | iteration: 7] - Incrementing workflow iteration...
[2023-09-09 18:55:58.822 | workflowName: LongRunningWorkflow | activityName: A | iteration: 8] - Mapping task arguments...
[2023-09-09 18:55:58.825 | workflowName: LongRunningWorkflow | activityName: A | iteration: 8] - Task will be executed with the following arguments: {"arguments":[],"constants":["0","A"],"currentIteration":8}
[2023-09-09 18:55:58.831 | workflowName: LongRunningWorkflow | activityName: A | iteration: 8] - Executing task
[2023-09-09 18:55:58.837 | workflowName: LongRunningWorkflow | activityName: A | iteration: 8] - Setup results file before task execution
[2023-09-09 18:55:58.840 | workflowName: LongRunningWorkflow | activityName: A | iteration: 8] - Executing task
[2023-09-09 18:55:59.740 | workflowName: LongRunningWorkflow | activityName: A | iteration: 8] - Task execution finished with a running time of: 899ms
[2023-09-09 18:55:59.744 | workflowName: LongRunningWorkflow | activityName: A | iteration: 8] - Collecting task results...
[2023-09-09 18:55:59.746 | workflowName: LongRunningWorkflow | activityName: A | iteration: 8] - Task results collected: [A8]
[2023-09-09 18:55:59.752 | workflowName: LongRunningWorkflow | activityName: A | iteration: 8] - Emit task results...
[2023-09-09 18:55:59.764 | workflowName: LongRunningWorkflow | activityName: A | iteration: 8] - Incrementing workflow iteration...
[2023-09-09 18:55:59.765 | workflowName: LongRunningWorkflow | activityName: A | iteration: 9] - Mapping task arguments...
[2023-09-09 18:55:59.768 | workflowName: LongRunningWorkflow | activityName: A | iteration: 9] - Task will be executed with the following arguments: {"arguments":[],"constants":["0","A"],"currentIteration":9}
[2023-09-09 18:55:59.769 | workflowName: LongRunningWorkflow | activityName: A | iteration: 9] - Executing task
[2023-09-09 18:55:59.769 | workflowName: LongRunningWorkflow | activityName: A | iteration: 9] - Setup results file before task execution
[2023-09-09 18:55:59.771 | workflowName: LongRunningWorkflow | activityName: A | iteration: 9] - Executing task
[2023-09-09 18:56:00.453 | workflowName: LongRunningWorkflow | activityName: A | iteration: 9] - Task execution finished with a running time of: 681ms
[2023-09-09 18:56:00.454 | workflowName: LongRunningWorkflow | activityName: A | iteration: 9] - Collecting task results...
[2023-09-09 18:56:00.456 | workflowName: LongRunningWorkflow | activityName: A | iteration: 9] - Task results collected: [A9]
[2023-09-09 18:56:00.457 | workflowName: LongRunningWorkflow | activityName: A | iteration: 9] - Emit task results...
[2023-09-09 18:56:00.462 | workflowName: LongRunningWorkflow | activityName: A | iteration: 9] - Incrementing workflow iteration...
[2023-09-09 18:56:00.463 | workflowName: LongRunningWorkflow | activityName: A | iteration: 10] - Mapping task arguments...
[2023-09-09 18:56:00.465 | workflowName: LongRunningWorkflow | activityName: A | iteration: 10] - Task will be executed with the following arguments: {"arguments":[],"constants":["0","A"],"currentIteration":10}
[2023-09-09 18:56:00.466 | workflowName: LongRunningWorkflow | activityName: A | iteration: 10] - Executing task
[2023-09-09 18:56:00.467 | workflowName: LongRunningWorkflow | activityName: A | iteration: 10] - Setup results file before task execution
[2023-09-09 18:56:00.468 | workflowName: LongRunningWorkflow | activityName: A | iteration: 10] - Executing task
[2023-09-09 18:56:01.124 | workflowName: LongRunningWorkflow | activityName: A | iteration: 10] - Task execution finished with a running time of: 654ms
[2023-09-09 18:56:01.126 | workflowName: LongRunningWorkflow | activityName: A | iteration: 10] - Collecting task results...
[2023-09-09 18:56:01.128 | workflowName: LongRunningWorkflow | activityName: A | iteration: 10] - Task results collected: [A10]
[2023-09-09 18:56:01.129 | workflowName: LongRunningWorkflow | activityName: A | iteration: 10] - Emit task results...
[2023-09-09 18:56:01.131 | workflowName: LongRunningWorkflow | activityName: A | iteration: 10] - Incrementing workflow iteration...
[2023-09-09 18:56:01.132 | workflowName: LongRunningWorkflow | activityName: A | iteration: 11] - Mapping task arguments...
[2023-09-09 18:56:01.133 | workflowName: LongRunningWorkflow | activityName: A | iteration: 11] - Task will be executed with the following arguments: {"arguments":[],"constants":["0","A"],"currentIteration":11}
[2023-09-09 18:56:01.134 | workflowName: LongRunningWorkflow | activityName: A | iteration: 11] - Executing task
[2023-09-09 18:56:01.134 | workflowName: LongRunningWorkflow | activityName: A | iteration: 11] - Setup results file before task execution
[2023-09-09 18:56:01.135 | workflowName: LongRunningWorkflow | activityName: A | iteration: 11] - Executing task
[2023-09-09 18:56:01.824 | workflowName: LongRunningWorkflow | activityName: A | iteration: 11] - Task execution finished with a running time of: 688ms
[2023-09-09 18:56:01.826 | workflowName: LongRunningWorkflow | activityName: A | iteration: 11] - Collecting task results...
[2023-09-09 18:56:01.829 | workflowName: LongRunningWorkflow | activityName: A | iteration: 11] - Task results collected: [A11]
[2023-09-09 18:56:01.829 | workflowName: LongRunningWorkflow | activityName: A | iteration: 11] - Emit task results...
[2023-09-09 18:56:01.833 | workflowName: LongRunningWorkflow | activityName: A | iteration: 11] - Incrementing workflow iteration...
[2023-09-09 18:56:01.833 | workflowName: LongRunningWorkflow | activityName: A | iteration: 12] - Mapping task arguments...
[2023-09-09 18:56:01.835 | workflowName: LongRunningWorkflow | activityName: A | iteration: 12] - Task will be executed with the following arguments: {"arguments":[],"constants":["0","A"],"currentIteration":12}
[2023-09-09 18:56:01.836 | workflowName: LongRunningWorkflow | activityName: A | iteration: 12] - Executing task
[2023-09-09 18:56:01.838 | workflowName: LongRunningWorkflow | activityName: A | iteration: 12] - Setup results file before task execution
[2023-09-09 18:56:01.842 | workflowName: LongRunningWorkflow | activityName: A | iteration: 12] - Executing task
[2023-09-09 18:56:02.620 | workflowName: LongRunningWorkflow | activityName: A | iteration: 12] - Task execution finished with a running time of: 778ms
[2023-09-09 18:56:02.622 | workflowName: LongRunningWorkflow | activityName: A | iteration: 12] - Collecting task results...
[2023-09-09 18:56:02.624 | workflowName: LongRunningWorkflow | activityName: A | iteration: 12] - Task results collected: [A12]
[2023-09-09 18:56:02.624 | workflowName: LongRunningWorkflow | activityName: A | iteration: 12] - Emit task results...
[2023-09-09 18:56:02.626 | workflowName: LongRunningWorkflow | activityName: A | iteration: 12] - Incrementing workflow iteration...
[2023-09-09 18:56:02.627 | workflowName: LongRunningWorkflow | activityName: A | iteration: 13] - Mapping task arguments...
[2023-09-09 18:56:02.628 | workflowName: LongRunningWorkflow | activityName: A | iteration: 13] - Task will be executed with the following arguments: {"arguments":[],"constants":["0","A"],"currentIteration":13}
[2023-09-09 18:56:02.629 | workflowName: LongRunningWorkflow | activityName: A | iteration: 13] - Executing task
[2023-09-09 18:56:02.630 | workflowName: LongRunningWorkflow | activityName: A | iteration: 13] - Setup results file before task execution
[2023-09-09 18:56:02.631 | workflowName: LongRunningWorkflow | activityName: A | iteration: 13] - Executing task
[2023-09-09 18:56:03.633 | workflowName: LongRunningWorkflow | activityName: A | iteration: 13] - Task execution finished with a running time of: 1001ms
[2023-09-09 18:56:03.635 | workflowName: LongRunningWorkflow | activityName: A | iteration: 13] - Collecting task results...
[2023-09-09 18:56:03.636 | workflowName: LongRunningWorkflow | activityName: A | iteration: 13] - Task results collected: [A13]
[2023-09-09 18:56:03.637 | workflowName: LongRunningWorkflow | activityName: A | iteration: 13] - Emit task results...
[2023-09-09 18:56:03.640 | workflowName: LongRunningWorkflow | activityName: A | iteration: 13] - Incrementing workflow iteration...
[2023-09-09 18:56:03.641 | workflowName: LongRunningWorkflow | activityName: A | iteration: 14] - Mapping task arguments...
[2023-09-09 18:56:03.642 | workflowName: LongRunningWorkflow | activityName: A | iteration: 14] - Task will be executed with the following arguments: {"arguments":[],"constants":["0","A"],"currentIteration":14}
[2023-09-09 18:56:03.643 | workflowName: LongRunningWorkflow | activityName: A | iteration: 14] - Executing task
[2023-09-09 18:56:03.644 | workflowName: LongRunningWorkflow | activityName: A | iteration: 14] - Setup results file before task execution
[2023-09-09 18:56:03.645 | workflowName: LongRunningWorkflow | activityName: A | iteration: 14] - Executing task
[2023-09-09 18:56:04.596 | workflowName: LongRunningWorkflow | activityName: A | iteration: 14] - Task execution finished with a running time of: 950ms
[2023-09-09 18:56:04.597 | workflowName: LongRunningWorkflow | activityName: A | iteration: 14] - Collecting task results...
[2023-09-09 18:56:04.604 | workflowName: LongRunningWorkflow | activityName: A | iteration: 14] - Task results collected: [A14]
[2023-09-09 18:56:04.605 | workflowName: LongRunningWorkflow | activityName: A | iteration: 14] - Emit task results...
[2023-09-09 18:56:04.613 | workflowName: LongRunningWorkflow | activityName: A | iteration: 14] - Incrementing workflow iteration...
[2023-09-09 18:56:04.615 | workflowName: LongRunningWorkflow | activityName: A | iteration: 15] - Mapping task arguments...
[2023-09-09 18:56:04.618 | workflowName: LongRunningWorkflow | activityName: A | iteration: 15] - Task will be executed with the following arguments: {"arguments":[],"constants":["0","A"],"currentIteration":15}
[2023-09-09 18:56:04.623 | workflowName: LongRunningWorkflow | activityName: A | iteration: 15] - Executing task
[2023-09-09 18:56:04.624 | workflowName: LongRunningWorkflow | activityName: A | iteration: 15] - Setup results file before task execution
[2023-09-09 18:56:04.627 | workflowName: LongRunningWorkflow | activityName: A | iteration: 15] - Executing task
[2023-09-09 18:56:05.403 | workflowName: LongRunningWorkflow | activityName: A | iteration: 15] - Task execution finished with a running time of: 774ms
[2023-09-09 18:56:05.405 | workflowName: LongRunningWorkflow | activityName: A | iteration: 15] - Collecting task results...
[2023-09-09 18:56:05.413 | workflowName: LongRunningWorkflow | activityName: A | iteration: 15] - Task results collected: [A15]
[2023-09-09 18:56:05.414 | workflowName: LongRunningWorkflow | activityName: A | iteration: 15] - Emit task results...
[2023-09-09 18:56:05.419 | workflowName: LongRunningWorkflow | activityName: A | iteration: 15] - Incrementing workflow iteration...
[2023-09-09 18:56:05.420 | workflowName: LongRunningWorkflow | activityName: A | iteration: 16] - Mapping task arguments...
[2023-09-09 18:56:05.422 | workflowName: LongRunningWorkflow | activityName: A | iteration: 16] - Task will be executed with the following arguments: {"arguments":[],"constants":["0","A"],"currentIteration":16}
[2023-09-09 18:56:05.424 | workflowName: LongRunningWorkflow | activityName: A | iteration: 16] - Executing task
[2023-09-09 18:56:05.425 | workflowName: LongRunningWorkflow | activityName: A | iteration: 16] - Setup results file before task execution
[2023-09-09 18:56:05.426 | workflowName: LongRunningWorkflow | activityName: A | iteration: 16] - Executing task
[2023-09-09 18:56:05.741 | workflowName: LongRunningWorkflow | activityName: B_replica_1_of_2 | iteration: 0] - Task execution finished with a running time of: 10608ms
[2023-09-09 18:56:05.744 | workflowName: LongRunningWorkflow | activityName: B_replica_1_of_2 | iteration: 0] - Collecting task results...
[2023-09-09 18:56:05.811 | workflowName: LongRunningWorkflow | activityName: B_replica_1_of_2 | iteration: 0] - Task results collected: [A0-B0]
[2023-09-09 18:56:05.815 | workflowName: LongRunningWorkflow | activityName: B_replica_1_of_2 | iteration: 0] - Emit task results...
[2023-09-09 18:56:05.853 | workflowName: LongRunningWorkflow | activityName: B_replica_1_of_2 | iteration: 0] - created output ports [{name='OPortB', type='OUT', channel='LongRunningWorkflowIPortCOPortB'}]
[2023-09-09 18:56:05.890 | workflowName: LongRunningWorkflow | activityName: B_replica_1_of_2 | iteration: 0] - Incrementing workflow iteration...
[2023-09-09 18:56:05.899 | workflowName: LongRunningWorkflow | activityName: B_replica_1_of_2 | iteration: 2] - Waiting for tokens...
[2023-09-09 18:56:05.915 | workflowName: LongRunningWorkflow | activityName: B_replica_1_of_2 | iteration: 2] - Received tokens: [InputToken{portName='IPortB', token={content='A2', iteration=2}}]
[2023-09-09 18:56:05.917 | workflowName: LongRunningWorkflow | activityName: B_replica_1_of_2 | iteration: 2] - Mapping task arguments...
[2023-09-09 18:56:05.920 | workflowName: LongRunningWorkflow | activityName: B_replica_1_of_2 | iteration: 2] - Task will be executed with the following arguments: {"arguments":["A2"],"constants":["10","B"],"currentIteration":2}
[2023-09-09 18:56:05.922 | workflowName: LongRunningWorkflow | activityName: B_replica_1_of_2 | iteration: 2] - Executing task
[2023-09-09 18:56:05.925 | workflowName: LongRunningWorkflow | activityName: B_replica_1_of_2 | iteration: 2] - Setup results file before task execution
[2023-09-09 18:56:05.933 | workflowName: LongRunningWorkflow | activityName: B_replica_1_of_2 | iteration: 2] - Executing task
[2023-09-09 18:56:06.037 | workflowName: LongRunningWorkflow | activityName: C | iteration: 0] - Received tokens: [InputToken{portName='IPortC', token={content='A0-B0', iteration=0}}]
[2023-09-09 18:56:06.041 | workflowName: LongRunningWorkflow | activityName: C | iteration: 0] - Mapping task arguments...
[2023-09-09 18:56:06.118 | workflowName: LongRunningWorkflow | activityName: C | iteration: 0] - Task will be executed with the following arguments: {"arguments":["A0-B0"],"constants":["0","C","LongRunningWorkflowResults.txt"],"currentIteration":0}
[2023-09-09 18:56:06.125 | workflowName: LongRunningWorkflow | activityName: C | iteration: 0] - Executing task
[2023-09-09 18:56:06.126 | workflowName: LongRunningWorkflow | activityName: C | iteration: 0] - Setup results file before task execution
[2023-09-09 18:56:06.130 | workflowName: LongRunningWorkflow | activityName: C | iteration: 0] - Executing task
[2023-09-09 18:56:06.169 | workflowName: LongRunningWorkflow | activityName: B_replica_2_of_2 | iteration: 1] - Task execution finished with a running time of: 10634ms
[2023-09-09 18:56:06.179 | workflowName: LongRunningWorkflow | activityName: A | iteration: 16] - Task execution finished with a running time of: 752ms
[2023-09-09 18:56:06.180 | workflowName: LongRunningWorkflow | activityName: A | iteration: 16] - Collecting task results...
[2023-09-09 18:56:06.178 | workflowName: LongRunningWorkflow | activityName: B_replica_2_of_2 | iteration: 1] - Collecting task results...
[2023-09-09 18:56:06.182 | workflowName: LongRunningWorkflow | activityName: A | iteration: 16] - Task results collected: [A16]
[2023-09-09 18:56:06.184 | workflowName: LongRunningWorkflow | activityName: A | iteration: 16] - Emit task results...
[2023-09-09 18:56:06.193 | workflowName: LongRunningWorkflow | activityName: A | iteration: 16] - Incrementing workflow iteration...
[2023-09-09 18:56:06.193 | workflowName: LongRunningWorkflow | activityName: A | iteration: 17] - Mapping task arguments...
[2023-09-09 18:56:06.197 | workflowName: LongRunningWorkflow | activityName: A | iteration: 17] - Task will be executed with the following arguments: {"arguments":[],"constants":["0","A"],"currentIteration":17}
[2023-09-09 18:56:06.199 | workflowName: LongRunningWorkflow | activityName: A | iteration: 17] - Executing task
[2023-09-09 18:56:06.200 | workflowName: LongRunningWorkflow | activityName: A | iteration: 17] - Setup results file before task execution
