[2023-09-06 15:33:15.946 | workflowName: LongRunningWorkflow | activityName: B_replica_3_of_10 | iteration: 2] - Activity started
[2023-09-06 15:33:18.937 | workflowName: LongRunningWorkflow | activityName: B_replica_3_of_10 | iteration: 2] - Received tokens: [InputToken{portName='IPortB', token=isel.meic.tmf.token.Token@2145b572}]
[2023-09-06 15:33:18.938 | workflowName: LongRunningWorkflow | activityName: B_replica_3_of_10 | iteration: 2] - Mapping task arguments...
[2023-09-06 15:33:18.948 | workflowName: LongRunningWorkflow | activityName: B_replica_3_of_10 | iteration: 2] - Task will be executed with the following arguments: {"arguments":["A2"],"constants":["10","B"],"currentIteration":2}
[2023-09-06 15:33:18.949 | workflowName: LongRunningWorkflow | activityName: B_replica_3_of_10 | iteration: 2] - Executing task
[2023-09-06 15:33:18.949 | workflowName: LongRunningWorkflow | activityName: B_replica_3_of_10 | iteration: 2] - Setup results file before task execution
[2023-09-06 15:33:18.951 | workflowName: LongRunningWorkflow | activityName: B_replica_3_of_10 | iteration: 2] - Executing task
[2023-09-06 15:33:19.088 | workflowName: LongRunningWorkflow | activityName: A | iteration: 3] - Task execution finished with a running time of: 177ms
[2023-09-06 15:33:19.089 | workflowName: LongRunningWorkflow | activityName: A | iteration: 3] - Collecting task results...
[2023-09-06 15:33:19.089 | workflowName: LongRunningWorkflow | activityName: A | iteration: 3] - Task results collected: [A3]
[2023-09-06 15:33:19.089 | workflowName: LongRunningWorkflow | activityName: A | iteration: 3] - Emit task results...
[2023-09-06 15:33:19.092 | workflowName: LongRunningWorkflow | activityName: A | iteration: 3] - Incrementing workflow iteration...
[2023-09-06 15:33:19.092 | workflowName: LongRunningWorkflow | activityName: A | iteration: 4] - Mapping task arguments...
[2023-09-06 15:33:19.092 | workflowName: LongRunningWorkflow | activityName: A | iteration: 4] - Task will be executed with the following arguments: {"arguments":[],"constants":["0","A"],"currentIteration":4}
[2023-09-06 15:33:19.093 | workflowName: LongRunningWorkflow | activityName: A | iteration: 4] - Executing task
[2023-09-06 15:33:19.093 | workflowName: LongRunningWorkflow | activityName: A | iteration: 4] - Setup results file before task execution
[2023-09-06 15:33:19.094 | workflowName: LongRunningWorkflow | activityName: A | iteration: 4] - Executing task
[2023-09-06 15:33:19.100 | workflowName: LongRunningWorkflow | activityName: B_replica_4_of_10 | iteration: 3] - Received tokens: [InputToken{portName='IPortB', token=isel.meic.tmf.token.Token@2145b572}]
[2023-09-06 15:33:19.101 | workflowName: LongRunningWorkflow | activityName: B_replica_4_of_10 | iteration: 3] - Mapping task arguments...
[2023-09-06 15:33:19.114 | workflowName: LongRunningWorkflow | activityName: B_replica_4_of_10 | iteration: 3] - Task will be executed with the following arguments: {"arguments":["A3"],"constants":["10","B"],"currentIteration":3}
[2023-09-06 15:33:19.115 | workflowName: LongRunningWorkflow | activityName: B_replica_4_of_10 | iteration: 3] - Executing task
[2023-09-06 15:33:19.115 | workflowName: LongRunningWorkflow | activityName: B_replica_4_of_10 | iteration: 3] - Setup results file before task execution
[2023-09-06 15:33:19.116 | workflowName: LongRunningWorkflow | activityName: B_replica_4_of_10 | iteration: 3] - Executing task
[2023-09-06 15:33:19.272 | workflowName: LongRunningWorkflow | activityName: A | iteration: 4] - Task execution finished with a running time of: 178ms
[2023-09-06 15:33:19.274 | workflowName: LongRunningWorkflow | activityName: A | iteration: 4] - Collecting task results...
[2023-09-06 15:33:19.274 | workflowName: LongRunningWorkflow | activityName: A | iteration: 4] - Task results collected: [A4]
[2023-09-06 15:33:19.275 | workflowName: LongRunningWorkflow | activityName: A | iteration: 4] - Emit task results...
[2023-09-06 15:33:19.277 | workflowName: LongRunningWorkflow | activityName: A | iteration: 4] - Incrementing workflow iteration...
[2023-09-06 15:33:19.277 | workflowName: LongRunningWorkflow | activityName: A | iteration: 5] - Mapping task arguments...
[2023-09-06 15:33:19.278 | workflowName: LongRunningWorkflow | activityName: A | iteration: 5] - Task will be executed with the following arguments: {"arguments":[],"constants":["0","A"],"currentIteration":5}
[2023-09-06 15:33:19.279 | workflowName: LongRunningWorkflow | activityName: A | iteration: 5] - Executing task
[2023-09-06 15:33:19.279 | workflowName: LongRunningWorkflow | activityName: A | iteration: 5] - Setup results file before task execution
[2023-09-06 15:33:19.280 | workflowName: LongRunningWorkflow | activityName: A | iteration: 5] - Executing task
[2023-09-06 15:33:19.301 | workflowName: LongRunningWorkflow | activityName: B_replica_5_of_10 | iteration: 4] - Received tokens: [InputToken{portName='IPortB', token=isel.meic.tmf.token.Token@2145b572}]
[2023-09-06 15:33:19.302 | workflowName: LongRunningWorkflow | activityName: B_replica_5_of_10 | iteration: 4] - Mapping task arguments...
[2023-09-06 15:33:19.314 | workflowName: LongRunningWorkflow | activityName: B_replica_5_of_10 | iteration: 4] - Task will be executed with the following arguments: {"arguments":["A4"],"constants":["10","B"],"currentIteration":4}
[2023-09-06 15:33:19.315 | workflowName: LongRunningWorkflow | activityName: B_replica_5_of_10 | iteration: 4] - Executing task
[2023-09-06 15:33:19.316 | workflowName: LongRunningWorkflow | activityName: B_replica_5_of_10 | iteration: 4] - Setup results file before task execution
[2023-09-06 15:33:19.317 | workflowName: LongRunningWorkflow | activityName: B_replica_5_of_10 | iteration: 4] - Executing task
[2023-09-06 15:33:19.475 | workflowName: LongRunningWorkflow | activityName: A | iteration: 5] - Task execution finished with a running time of: 195ms
[2023-09-06 15:33:19.476 | workflowName: LongRunningWorkflow | activityName: A | iteration: 5] - Collecting task results...
[2023-09-06 15:33:19.476 | workflowName: LongRunningWorkflow | activityName: A | iteration: 5] - Task results collected: [A5]
[2023-09-06 15:33:19.477 | workflowName: LongRunningWorkflow | activityName: A | iteration: 5] - Emit task results...
[2023-09-06 15:33:19.479 | workflowName: LongRunningWorkflow | activityName: A | iteration: 5] - Incrementing workflow iteration...
[2023-09-06 15:33:19.479 | workflowName: LongRunningWorkflow | activityName: A | iteration: 6] - Mapping task arguments...
[2023-09-06 15:33:19.479 | workflowName: LongRunningWorkflow | activityName: A | iteration: 6] - Task will be executed with the following arguments: {"arguments":[],"constants":["0","A"],"currentIteration":6}
[2023-09-06 15:33:19.480 | workflowName: LongRunningWorkflow | activityName: A | iteration: 6] - Executing task
[2023-09-06 15:33:19.480 | workflowName: LongRunningWorkflow | activityName: A | iteration: 6] - Setup results file before task execution
[2023-09-06 15:33:19.481 | workflowName: LongRunningWorkflow | activityName: A | iteration: 6] - Executing task
[2023-09-06 15:33:19.503 | workflowName: LongRunningWorkflow | activityName: B_replica_6_of_10 | iteration: 5] - Received tokens: [InputToken{portName='IPortB', token=isel.meic.tmf.token.Token@2145b572}]
[2023-09-06 15:33:19.503 | workflowName: LongRunningWorkflow | activityName: B_replica_6_of_10 | iteration: 5] - Mapping task arguments...
[2023-09-06 15:33:19.516 | workflowName: LongRunningWorkflow | activityName: B_replica_6_of_10 | iteration: 5] - Task will be executed with the following arguments: {"arguments":["A5"],"constants":["10","B"],"currentIteration":5}
[2023-09-06 15:33:19.517 | workflowName: LongRunningWorkflow | activityName: B_replica_6_of_10 | iteration: 5] - Executing task
[2023-09-06 15:33:19.517 | workflowName: LongRunningWorkflow | activityName: B_replica_6_of_10 | iteration: 5] - Setup results file before task execution
[2023-09-06 15:33:19.518 | workflowName: LongRunningWorkflow | activityName: B_replica_6_of_10 | iteration: 5] - Executing task
[2023-09-06 15:33:19.671 | workflowName: LongRunningWorkflow | activityName: A | iteration: 6] - Task execution finished with a running time of: 190ms
[2023-09-06 15:33:19.672 | workflowName: LongRunningWorkflow | activityName: A | iteration: 6] - Collecting task results...
[2023-09-06 15:33:19.673 | workflowName: LongRunningWorkflow | activityName: A | iteration: 6] - Task results collected: [A6]
[2023-09-06 15:33:19.673 | workflowName: LongRunningWorkflow | activityName: A | iteration: 6] - Emit task results...
[2023-09-06 15:33:19.675 | workflowName: LongRunningWorkflow | activityName: A | iteration: 6] - Incrementing workflow iteration...
[2023-09-06 15:33:19.676 | workflowName: LongRunningWorkflow | activityName: A | iteration: 7] - Mapping task arguments...
[2023-09-06 15:33:19.676 | workflowName: LongRunningWorkflow | activityName: A | iteration: 7] - Task will be executed with the following arguments: {"arguments":[],"constants":["0","A"],"currentIteration":7}
[2023-09-06 15:33:19.677 | workflowName: LongRunningWorkflow | activityName: A | iteration: 7] - Executing task
[2023-09-06 15:33:19.677 | workflowName: LongRunningWorkflow | activityName: A | iteration: 7] - Setup results file before task execution
[2023-09-06 15:33:19.677 | workflowName: LongRunningWorkflow | activityName: A | iteration: 7] - Executing task
[2023-09-06 15:33:19.704 | workflowName: LongRunningWorkflow | activityName: B_replica_7_of_10 | iteration: 6] - Received tokens: [InputToken{portName='IPortB', token=isel.meic.tmf.token.Token@2145b572}]
[2023-09-06 15:33:19.705 | workflowName: LongRunningWorkflow | activityName: B_replica_7_of_10 | iteration: 6] - Mapping task arguments...
[2023-09-06 15:33:19.717 | workflowName: LongRunningWorkflow | activityName: B_replica_7_of_10 | iteration: 6] - Task will be executed with the following arguments: {"arguments":["A6"],"constants":["10","B"],"currentIteration":6}
[2023-09-06 15:33:19.718 | workflowName: LongRunningWorkflow | activityName: B_replica_7_of_10 | iteration: 6] - Executing task
[2023-09-06 15:33:19.719 | workflowName: LongRunningWorkflow | activityName: B_replica_7_of_10 | iteration: 6] - Setup results file before task execution
[2023-09-06 15:33:19.720 | workflowName: LongRunningWorkflow | activityName: B_replica_7_of_10 | iteration: 6] - Executing task
[2023-09-06 15:33:19.874 | workflowName: LongRunningWorkflow | activityName: A | iteration: 7] - Task execution finished with a running time of: 196ms
[2023-09-06 15:33:19.876 | workflowName: LongRunningWorkflow | activityName: A | iteration: 7] - Collecting task results...
[2023-09-06 15:33:19.876 | workflowName: LongRunningWorkflow | activityName: A | iteration: 7] - Task results collected: [A7]
[2023-09-06 15:33:19.876 | workflowName: LongRunningWorkflow | activityName: A | iteration: 7] - Emit task results...
[2023-09-06 15:33:19.879 | workflowName: LongRunningWorkflow | activityName: A | iteration: 7] - Incrementing workflow iteration...
[2023-09-06 15:33:19.879 | workflowName: LongRunningWorkflow | activityName: A | iteration: 8] - Mapping task arguments...
[2023-09-06 15:33:19.880 | workflowName: LongRunningWorkflow | activityName: A | iteration: 8] - Task will be executed with the following arguments: {"arguments":[],"constants":["0","A"],"currentIteration":8}
[2023-09-06 15:33:19.880 | workflowName: LongRunningWorkflow | activityName: A | iteration: 8] - Executing task
[2023-09-06 15:33:19.881 | workflowName: LongRunningWorkflow | activityName: A | iteration: 8] - Setup results file before task execution
[2023-09-06 15:33:19.881 | workflowName: LongRunningWorkflow | activityName: A | iteration: 8] - Executing task
[2023-09-06 15:33:19.906 | workflowName: LongRunningWorkflow | activityName: B_replica_8_of_10 | iteration: 7] - Received tokens: [InputToken{portName='IPortB', token=isel.meic.tmf.token.Token@2145b572}]
[2023-09-06 15:33:19.907 | workflowName: LongRunningWorkflow | activityName: B_replica_8_of_10 | iteration: 7] - Mapping task arguments...
[2023-09-06 15:33:19.918 | workflowName: LongRunningWorkflow | activityName: B_replica_8_of_10 | iteration: 7] - Task will be executed with the following arguments: {"arguments":["A7"],"constants":["10","B"],"currentIteration":7}
[2023-09-06 15:33:19.919 | workflowName: LongRunningWorkflow | activityName: B_replica_8_of_10 | iteration: 7] - Executing task
[2023-09-06 15:33:19.920 | workflowName: LongRunningWorkflow | activityName: B_replica_8_of_10 | iteration: 7] - Setup results file before task execution
[2023-09-06 15:33:19.921 | workflowName: LongRunningWorkflow | activityName: B_replica_8_of_10 | iteration: 7] - Executing task
[2023-09-06 15:33:20.071 | workflowName: LongRunningWorkflow | activityName: A | iteration: 8] - Task execution finished with a running time of: 190ms
[2023-09-06 15:33:20.072 | workflowName: LongRunningWorkflow | activityName: A | iteration: 8] - Collecting task results...
[2023-09-06 15:33:20.073 | workflowName: LongRunningWorkflow | activityName: A | iteration: 8] - Task results collected: [A8]
[2023-09-06 15:33:20.073 | workflowName: LongRunningWorkflow | activityName: A | iteration: 8] - Emit task results...
[2023-09-06 15:33:20.075 | workflowName: LongRunningWorkflow | activityName: A | iteration: 8] - Incrementing workflow iteration...
[2023-09-06 15:33:20.076 | workflowName: LongRunningWorkflow | activityName: A | iteration: 9] - Mapping task arguments...
[2023-09-06 15:33:20.076 | workflowName: LongRunningWorkflow | activityName: A | iteration: 9] - Task will be executed with the following arguments: {"arguments":[],"constants":["0","A"],"currentIteration":9}
[2023-09-06 15:33:20.077 | workflowName: LongRunningWorkflow | activityName: A | iteration: 9] - Executing task
[2023-09-06 15:33:20.078 | workflowName: LongRunningWorkflow | activityName: A | iteration: 9] - Setup results file before task execution
[2023-09-06 15:33:20.078 | workflowName: LongRunningWorkflow | activityName: A | iteration: 9] - Executing task
[2023-09-06 15:33:20.097 | workflowName: LongRunningWorkflow | activityName: B_replica_9_of_10 | iteration: 8] - Received tokens: [InputToken{portName='IPortB', token=isel.meic.tmf.token.Token@2145b572}]
[2023-09-06 15:33:20.098 | workflowName: LongRunningWorkflow | activityName: B_replica_9_of_10 | iteration: 8] - Mapping task arguments...
[2023-09-06 15:33:20.111 | workflowName: LongRunningWorkflow | activityName: B_replica_9_of_10 | iteration: 8] - Task will be executed with the following arguments: {"arguments":["A8"],"constants":["10","B"],"currentIteration":8}
[2023-09-06 15:33:20.112 | workflowName: LongRunningWorkflow | activityName: B_replica_9_of_10 | iteration: 8] - Executing task
[2023-09-06 15:33:20.112 | workflowName: LongRunningWorkflow | activityName: B_replica_9_of_10 | iteration: 8] - Setup results file before task execution
[2023-09-06 15:33:20.113 | workflowName: LongRunningWorkflow | activityName: B_replica_9_of_10 | iteration: 8] - Executing task
[2023-09-06 15:33:20.256 | workflowName: LongRunningWorkflow | activityName: A | iteration: 9] - Task execution finished with a running time of: 177ms
[2023-09-06 15:33:20.258 | workflowName: LongRunningWorkflow | activityName: A | iteration: 9] - Collecting task results...
[2023-09-06 15:33:20.258 | workflowName: LongRunningWorkflow | activityName: A | iteration: 9] - Task results collected: [A9]
[2023-09-06 15:33:20.259 | workflowName: LongRunningWorkflow | activityName: A | iteration: 9] - Emit task results...
[2023-09-06 15:33:20.261 | workflowName: LongRunningWorkflow | activityName: A | iteration: 9] - Finished Activity execution with a total lasting time of: 2277ms
[2023-09-06 15:33:20.275 | workflowName: LongRunningWorkflow | activityName: B_replica_10_of_10 | iteration: 9] - Received tokens: [InputToken{portName='IPortB', token=isel.meic.tmf.token.Token@2145b572}]
[2023-09-06 15:33:20.276 | workflowName: LongRunningWorkflow | activityName: B_replica_10_of_10 | iteration: 9] - Mapping task arguments...
[2023-09-06 15:33:20.291 | workflowName: LongRunningWorkflow | activityName: B_replica_10_of_10 | iteration: 9] - Task will be executed with the following arguments: {"arguments":["A9"],"constants":["10","B"],"currentIteration":9}
[2023-09-06 15:33:20.292 | workflowName: LongRunningWorkflow | activityName: B_replica_10_of_10 | iteration: 9] - Executing task
[2023-09-06 15:33:20.293 | workflowName: LongRunningWorkflow | activityName: B_replica_10_of_10 | iteration: 9] - Setup results file before task execution
[2023-09-06 15:33:20.295 | workflowName: LongRunningWorkflow | activityName: B_replica_10_of_10 | iteration: 9] - Executing task
